,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses
50,70vefsUmFDJxpMpzC0xeri55gfurzIskwk_7m2rGJjoJn9s,I_uPtznM8oY-FFoec-h_rw0GuG0P_LATdn7S0L8KxV2Iqg,t7xMY1SAItn0MpNEeRyFur2MKmMCKzVnScBYPVsjzm8w-Ha9YS8H0k1bQ57UE6DPIS3fdZNtUyvf0A,Angry Gabbo,4896,1683559297000,908,973,I,245,219
51,hkGLC5DeD3fbYA2saVQH7teHbHwoXjP4MjQV-WfOj1xETWa3,2ETaZLntEpyRWL66__nFCbWaH0XZ57ys6eM9u_4gI625LW-Z7dUriSvd,NdrMgXXPhm5nb9eqWRl1eg6GScUX-gNeSjlzS9mxV24hP94x6tOnpdpAtplNh-2zjx4u7Doz9UMn3A,TTV H0rnlime,26,1683739334699,260,970,I,502,463
52,2JUBfOzFYWnbnKxD-7OvrCxSGW7Ach3SOXrrYlnlTr9H04e5,xk8Li1WZmeaHHbSZIGsWz8geq4B6_EwjaNVLwX02SX20U9ddrlWLeWlK,dgTrb1yCuL2Y94Q_youItCZ7MpSk4mEbEynTm_QN-_HAOWgqKxrA02bJgq7q7aaFtxLVfToeTD-agA,zimba int acc,3863,1683546433000,187,970,I,134,103
53,xeQm-wCOcJ3jqlWa5KX9UM4YOgksRz3Pp2UZy_xD8sVtOi5w,9JcSOAz6IQnrEmbj5qR-aahNHD1LKz3TmkHxFYebRhLm_vwSHajy7aH5,NeyNEvU-okXxSHQZUfu-X6iYGxpPHdNzKxvk3fwSDzgQs_hFHaVvVXXdZYLH6in8KBWBERYUGUyZ7w,Shawi Katami,787,1683736682304,876,968,I,634,590
54,a0kXnWawN3uzBXrAeslt2NESJ3SmeweFbmjPHcxBq92ft_F5A4ZhdsrVTw,LrUzgvQR6AIJQNBowqz1OuAyn_IZJgSPvMAySHJ9TAd6O3QxJXfiVRKS,b5oR_Puy_QGYzD0rX-8ik4-ZDDgcB2Y9z6bfdkCRzc64rlj5uV5SvXF5EF42-Dixb-t_waqwxTmhhQ,IQMIRDRMYL,29,1683738638826,40,967,I,73,28
55,8XFuEVtqLJAhkyr24WwEgXsCHyjaLmXd0EzZaDjc7t50DPx0Tys9zo6S2w,YE_qL9TndltsiXlAEdis8_Y3Yjyeu1_UcGY8Hl2EMwAG7BPQSLdnSwmp,AHFc5yROKPxq6WA7-N8fk2ZU5V3Pqsusk33yk_aAtNQ8CfSvlKpeRXLkAc7sbm42bR6_kw_JmHVwPg,TTV suki545,9,1683720982730,141,967,I,149,120
56,Lg5OVznRjpu1JDeHqy-iaciHa3UA8U3-cLMCKF2NlBdYz98,lFhgPSsJoR4vGdNs1Hvvf65thNJOFmW0BJ4xIaVXXiu8WQ,bY6Niy4Ih-IzRSjPUtI-w98CFdchYg_EhUFWgkjyEPwm_Tf3YpI1enrq6sXOZFOqJj6qbzBhNoBYcQ,borcigendale,4568,1683719409069,259,966,I,108,68
57,5mrYT0KHEgZTCYyj9kNHtYfB9FF0LyTBBV_zbVHnFawtGVg,L-mbDYtXDFMX3aDbAiiRPe6usmXG0sKca1vnVukqpKNis-g,tQr5MMrHGoQzdGC2vekbZ5AUh9n-rkk8wfolpiX1XV6ro68HNvRFRZg_2eIN1zoLIXBYLvwVu0BF4A,nnwsscdbzdsmsds,29,1683720523927,285,965,I,157,132
58,QX1Oe32Mb3TqYwyov_-8z2v8MGcFQbiy_6NKE2wpWVK9Edg,Pfurjuzx9xpedUBg0-ahTg0xBl2QCs1YSualhbzeFBcqYi8,Ty8IsYS2PiJ1rqcXmn95hsknaJYMXUE5_UnITzbmkzqD-lo65mkfjEqIJYpIVtvysSWLI0TfW6k4xg,LΟTUSS,5776,1683739527861,517,964,I,309,271
59,0BbtDEFfO_YJvCq-mDKkw1E7Rui_nyTD_3-8Rt8Lv1ayu4J2,7w90cwK99sCUHwwGyP3TiQzFDGmUnzHwSmomCR3nyQgAiiU,8yQ5lqGdfIHpb_-gtLlSxEIXRoY2yuOgQJcaWnuuddse00WIAXcgd0y4PPfge0SQIfABWhp7Yx4asA,0BS3SSED,1385,1683686713674,902,964,I,434,402
